Category,Keyword (EN),Keyword(JP)
bullying,intimidate ,怖がらせる
bullying,tough ,つらい
violence,thug ,乱暴者
bullying,browbeat ,脅す
bullying,verbal abuse ,暴言
bullying,hector ,いじめる
violence,hoodlum ,不良
crime,ruffian ,暴漢
bullying,mobbing ,いじめる
abuse,abuse ,虐待
violence,swagger ,威張る
harassment,harassment ,ハラスメント
bullying,intimidation ,恫喝する
harassment,humiliation ,屈辱
violence,physical abuse ,身体的虐待
violence,rowdy ,乱暴者
violence,smashing ,破壊
violence,hooligan ,悪党
violence,roughneck ,乱暴者
bullying,ballyrag ,いじめる
violence,strong-arm ,強要する
crime,yobbo ,不良少年
crime,yob ,不良少年
bullying,bullyrag ,いじめる
crime,yobo ,不良少年
bullying,cyber bullying ,ネットいじめ
crime,bang-up ,傷つける
bullying,bullying ,いじめ
violence,assailant ,加害者
bullying,bully ,いじめる
bullying,cyberbullying ,ネットいじめ
violence,coercion ,無理強い
harassment,sexting ,卑猥な発言を送る
harassment,homophobia ,同性愛嫌悪
bullying,truancy ,不登校
bullying,push around ,いじめる
harassment,sexual harassment ,セクハラ
bullying,boss around ,こき使う
violence,power ,権力
bullying,hazing ,いじめ
abuse,sexual abuse ,性的虐待
violence,aggressor ,加害者
crime,goon ,暴力団
harassment,racism ,人種差別
harassment,homophobic ,同性愛嫌悪
harassment,sexual misconduct ,性的不正行為
bullying,corporal punishment ,体罰
bullying,antisocial behavior ,反社会的行為
harassment,misbehavior ,非行
abuse,teenage pregnancy ,10代の妊娠
bullying,bullyboy ,無法者
crime,hate crimes ,ヘイトクライム
abuse,sexual assault ,性的暴行
crime,underage drinking ,未成年飲酒
discrimination,discrimination ,差別
abuse,teen pregnancy ,10代の妊娠
abuse,sexual assaults ,性的暴行
abuse,pedophilia ,小児性愛
abuse,abusive ,虐待的な
discrimination,gender discrimination ,性差別
harassment,religious intolerance ,宗教的不寛容
abuse,spousal abuse ,配偶者への虐待
violence,rudeness ,わいせつ
bullying,absenteeism ,常習的欠席
abuse,sexually abusive ,性的虐待を行う
discrimination,hateful ,憎たらしい
discrimination,ageism ,老人差別
violence,vandalism ,器物損壊
violence,violence ,暴力団
harassment,childhood obesity ,小児肥満症
abuse,sexual predators ,性犯罪者
bullying,taunt ,愚弄する
discrimination,anti semitism ,反ユダヤ主義
bullying,teasing ,からかう
discrimination,sexism ,性差別
abuse,psychological abuse ,心理的虐待
bullying,slurs ,誹謗中傷
discrimination,sexual exploitation ,性的搾取
discrimination,stereotyping ,ステレオタイプ化
bullying,hate ,憎む
discrimination,racial discrimination ,人種差別
abuse,teenage pregnancies ,10代の妊娠
bullying,troublemaker ,トラブルメーカー
violence,vindictive ,ひどく叱る
crime,stalking ,ストーカー
bullying,bullying culture ,いじめの文化
violence,violence prevention ,暴力防止
bullying,school bullying ,学校でのいじめ
bullying,humiliate ,屈辱を与える
discrimination,asperger syndrome ,アスペルガー症候群
harassment,sexual molestation ,性的暴行
bullying,cliques ,スクールカースト
crime,juvenile delinquency ,青少年犯罪
crime,cybercrime ,サイバー犯罪
violence,unruly behavior ,手に負えない行為
bullying,shaming ,晒し上げる
violence,assaults ,暴力
bullying,suicidal tendencies ,自殺傾向
bullying,threat ,脅迫
bullying,bullied ,いじめられる
harassment,immorality,わいせつ
harassment,indecency,わいせつ
harassment,indelicacy,わいせつ
harassment,lubricity,わいせつ
harassment,obscenity,わいせつ
harassment,rudeness,わいせつ
harassment,sculduddery,わいせつ
bullying,hazing ,いじめ
bullying,extort,かつあげする
abuse,domestic violence,家庭内暴力
abuse,domestic abuse,家庭内暴力
abuse,intimate partner violence,家庭内暴力
bullying,dragoon,強要する
violence,kick,蹴る
violence,punch,殴る
