Text,Category
"Ｄフォトのバージョンアップをしたいのですが保留が続き何回やっても出来ません。

月末でフォトブックを作りたいのに困っています。よろしくお願い致します。",操作説明
「ｄフォト」というオプション名だと無料と勘違いしてしまう。プリント機能のみ有料であればオプション名を変更するべきだ。アプリではｄフォトは無料と表示されていたので、無料と勘違いして利用し続けてしまった。,その他
９．３採用ｄフォトの廃止,対象外
"【機種】ＳＯ－０２Ｌ（ＸＡｃｅ）【カテゴリ】フォト【事象の概要】アルバムやｄフォトから消えた写真を復元したい。【発生日時】１１／２９　：【再発有無】初事象【解決方法】フォトアプリで該当写真を本体にダウンロードして解決。

１３０１",操作説明
"【機種】ｉＰｈｏｎｅ　Ｘ　【カテゴリ】ｄフォト【事象の概要】クラウド容量オプションで容量を追加している利用容量が残り少なくなって来た時にお知らせはあるのか【発生日時】／　：

１３０２",サービス案内
"【機種】ＳＨ－０４Ｈ　ＯＳ６．０　０８【カテゴリ】トラ）ｄフォト　【事象の概要】プリントアプリでフォトブック作成時処理中となり作成できない［発生手順］［エラー文言］［発生日時］２．３ヶ月前［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・発生機種［発生頻度］毎回［トラブルシューティング］再起動・空き容量・ｄアカウント設定データ消去・プリントアプリ」再インストール・ＶＰＮ・ユーザー補助・デバイス管理機能・ｄアカウントロックなし【５５０４】
２２０６",操作説明
"【機種】ｉＰｈｏｎｅ　Ｘ【カテゴリ】ｄフォト【事象の概要】画像がバックアップされない【発生日時】／　：【再発有無】初事象／再発【解決方法】ｄフォトアプリ入れ直し
１１０２",操作説明
数日前から何度もやっていますが、ｄフォトプリントのアプリが更新出来ず、ずっと更新中の表示が出ていて、月末で印刷申し込みしたいのに出来ません。これではせっかく料金を払って月額契約している意味がなくなります。ＸＰＥＲＩＡ　ｓｏ－０２ｌ,操作説明
"【機種】ｉＰｈｏｎｅ６　ｉＯＳ１２．４．９【カテゴリ】トラ）ｄフォト：プリント【事象の概要】フォトブックの注文を進めると「処理中にエラーが発生しました」と表示されて操作が完了できない【発生日時】１１／２９　：（同日既に３冊の注文が完了してる、）【再発有無】初事象［外部機器］
１４０１",操作説明
"【機種】ＳＣ－０４Ｊ　８ビルドＢＴＧ１【カテゴリ】ｄフォトプリントアプリ【事象の概要】アプリが更新せずに開けない　更新ボタンが読み込み中のまますすまない

再起動済み【発生日時】１１／２３～　：【再発有無】初事象【解決方法】Ｐｌａｙストアからアップデートで解決
０１０１",操作説明
"【機種】ｉＰｈｏｎｅ６　ｉＯＳ１２．４．９【カテゴリ】トラ）ｄフォトプリント【事象の概要】フォトブックの注文が出来ない［発生手順］フォトブックの注文時、写真を選んで次へ進むとエラー［エラー文言］ポップアップ画面「処理中にエラーが発生しました」［発生日時］１１／２９　：［再発有無］初事象［事象発生のきっかけ］［発生環境］パケット通信・Ｗｉ－Ｆｉ［発生頻度］毎回［トラブルシューティング］
・ＶＰＮなし
・プロファイル：サードパーティーなし
・ネットワーク設定のリセット
・ｄアカウント設定アプリでアカウント再設定
・ｄフォト再インストール

●ＮＷ暗証番号にロックがかかっており、解除の為総合ＩＣに転送
１１／２９の過去の応対履歴有
１３０２",操作説明
"【機種】ｉＰｈｏｎｅ１１Ｐｒｏ　ｉＯＳ１４．２【カテゴリ】ｄフォト　ｄフォトプリント【事象の概要】「フォトブックを作る」から写真選択やコメントを入力後「ＯＫ」押下時、「エラーが発生しました。再度おためしください」が表示される【発生日時】／　：【再発有無】初事象【解決方法】『ｄフォトプリント』の再インストールで改善
１００１",操作説明
"【機種】ｉＰｈｏｎｅ８　【カテゴリ】ｄフォト【事象の概要】ｄフォトプリントアプリ起動時「認証エラー　Ｄ１３４」【発生日時】／　：【再発有無】初事象【解決方法】ｄアカウント設定アプリで再認証後、パケット通信で起動
０８０３",ログイントラブル
